segmento,valor,clientes
Moda,9589663.5,12646
Gastronomia,2171108.23,8222
Calçados,1955633.92,4766
Joalheria,1895971.18,1018
Esportes,1573987.48,3749
Eletrodomésticos,1564493.5,2253
Telefonia,1433773.81,371
Beleza e Bem-estar,1385745.28,4026
Ótica,1169885.86,802
Casa e Decoração,497862.1,661
Eletrônicos,460398.15,385
Presentes e Acessórios,454538.83,1390
Moda Feminina,452805.5,558
Infantil,414270.34,1396
Não informado,357664.15,667
Livrarias,283060.27,1850
Papelaria,215083.5,1477
Pets,209284.73,1063
Farmácias,182395.3,1394
Serviços,43249.01,1100
