segmento,valor,clientes
Moda,424877.89,799
Casa e Decoração,265649.11,575
Supermercado,228166.15,571
Gastronomia,171898.54,943
Calçados,163666.58000000002,410
Eletrodomésticos,146200.46,426
Esportes,130164.85,342
Eletrônicos,106493.1,60
Beleza e Bem-estar,103002.17,475
Telefonia,66316.55,75
Infantil,41416.11,190
Pets,37270.18,220
Presentes e Acessórios,32539.27,235
Farmácias,27292.02,192
Joalheria,26988.05,42
Papelaria,22859.1,219
Fast Food,21186.19,189
Livrarias,18822.0,172
Ótica,14979.5,22
Outros,11731.0,6
