faixa_etaria,qtd_clientes,valor_total,pct_clientes
16-24 (Gen Z),375,225061.05,8.954154727793696
25-39 (Millennials),1999,1619942.27,47.7316141356256
40-54 (Gen X),1424,1385110.49,34.00191021967526
55-69 (Boomers),344,340961.59,8.213944603629416
70+ (Silent),42,31523.05,1.002865329512894
Nao Informado,4,11366.45,0.09551098376313276
