dia_semana,valor,transacoes
Domingo,964162.35,3703
Quarta,334776.74,1192
Quinta,388395.09,1543
Sabado,816784.0,2918
Segunda,379735.17,1346
Sexta,431876.58,1501
Terca,298234.97,1007
