segmento,valor,clientes
Moda,1357965.46,2097
Gastronomia,319846.49,1451
Beleza e Bem-estar,249123.92,711
Casa e Decoração,226200.23,398
Esportes,209852.39,466
Joalheria,201259.62,186
Eletrônicos,197200.7,42
Calçados,189639.11000000002,566
Calçados Femininos,101374.36,117
Hub da Saúde,88289.37,20
Infantil,85409.61,327
Farmácias,56832.15,355
Não informado,47848.91,355
Moda Feminina,47287.28,108
Ótica,44637.13,64
Presentes e Acessórios,39597.85,63
Pets,36404.3,196
Livrarias,31651.2,251
Outros,28235.31,103
Eletrodomésticos,21164.07,196
