loja,valor,clientes
Renner,287274.32,707
Samsung,190661.0,37
Cassol Centerlar,175203.24,178
C&A,164445.68,529
Centauro,158227.5,336
Riachuelo,152701.19,483
Vivara,152644.38999999998,90
Luz da Lua,101374.36,117
Farm,91846.97,126
Essence Parfums,90395.57,77
Ortobom ,88289.37,20
Pittol,82024.73,248
Calvin Klein e Tommy Hilfiger,79524.0,97
Békko,66929.95,78
Youcom,55925.340000000004,161
Empório Du Homem,49908.8,40
Colcci,48297.79,57
Beagle,47943.04,102
Ri Happy,47327.96,197
Ritmi Studio,47287.28,108
