segmento,valor,clientes
Moda,5526007.69,6435
Joalheria,2038774.76,998
Calçados,1587131.18,2644
Beleza e Bem-estar,1372326.73,3342
Casa e Decoração,1190057.52,2346
Gastronomia,971973.02,3968
Serviços,882954.86,1025
Moda Feminina,732286.32,789
Telefonia,725777.81,233
Ótica,661473.9,374
Esportes,656187.51,1448
Presentes e Acessórios,608573.83,928
Eletrônicos,556309.43,419
Livrarias,292702.52,1778
Papelaria,157356.96,932
Infantil,152756.47,600
Farmácias,133581.57,761
Pets,103531.63,477
Eletrodomésticos,96359.95,895
Gastronomia - Restaurante,66362.93,217
