loja,valor,clientes
Renner,1216021.12,2537
Vivara,1084176.06,338
Cvc Viagens,846604.54,63
Havan,755105.3,1687
Le Lis ,501443.76,236
Riachuelo,500886.56,1344
Centauro,470105.28,1095
Brooksfield,463341.04,284
Shoulder,461387.06,392
Cia do Homem,431072.95,449
Idéli.Oui,419558.19,396
Life by Vivara,362800.92,396
Luz da Lua,332796.1,301
Livrarias Catarinense,292702.52,1778
Baier Joalheria,289781.21,97
Track & Field,288463.14,359
Óticas Carol,284650.12,132
Victor Hugo,274653.69,81
Hering Store,271485.74,612
Maze,262082.18,249
