faixa_etaria,qtd_clientes,valor_total,pct_clientes
16-24 (Gen Z),746,685712.47,5.814950502767168
25-39 (Millennials),4513,5540383.05,35.17811208979656
40-54 (Gen X),5231,8446875.9,40.774807077714556
55-69 (Boomers),1925,3215477.09,15.005066645880428
70+ (Silent),402,647326.9,3.1335256060487953
Nao Informado,12,15173.42,0.09353807779250137
