segmento,valor,clientes
Moda,1068093.8,1729
Casa e Decoração,349404.3,451
Joalheria,238873.57,180
Beleza e Bem-estar,166809.74,580
Gastronomia,140154.87,809
Calçados,128863.35,461
Esportes,110415.61,238
Calçados Femininos,109481.15,137
Eletrônicos,107352.0,29
Infantil,94709.4,311
Pets,59871.54,317
Presentes e Acessórios,30856.64,54
Livrarias,24242.09,184
Outros,23314.55,57
Papelaria,22525.8,109
Farmácias,18921.37,129
Ótica,14866.34,41
Eletrodomésticos,11489.78,135
Serviços,3505.95,174
Lazer,325.65,5
