segmento,valor,clientes
Moda,518574.99,670
Gastronomia,128680.16,571
Beleza e Bem-estar,115394.57,282
Joalheria,85799.91,35
Esportes,81252.76,151
Moda Feminina,80286.6,41
Infantil,63508.63,205
Presentes e Acessórios,60442.15,114
Calçados,58357.32,144
Ótica,35188.26,27
Casa e Decoração,32999.46,65
Eletrônicos,23645.2,13
Calçados Femininos,22022.29,43
Livrarias,15813.24,138
Eletrodomésticos,10094.18,6
Farmácias,9876.67,74
Supermercado,6096.26,83
Telefonia,2084.0,3
Serviços,1537.5,32
Suplementos esportivos,962.9100000000001,4
