loja,valor,clientes
Renner,74813.36,234
Centauro,61010.44,126
Vivara,57155.02,20
C&A,56583.98,178
Nike Unite,52677.450000000004,105
Magazine Luiza,50668.32,21
Tommy Hilfiger,49797.01,18
Riachuelo,41449.66,152
Óticas Carol,37938.46,10
Empório Du Homem,35911.5,24
Motorola,28506.92,9
Panvel Farmácias,26925.83,192
Clifield,26796.31,29
Decathlon,23870.61,104
Lojas Americanas,22718.51,311
PRIME GAMES,21035.5,7
Outback Steakhouse,20470.88,69
Carioca Calçados,19632.9,45
Kalunga,18536.86,188
Studio Z,14820.11,86
