segmento,valor,clientes
Moda,2114440.79,2374
Joalheria,607542.19,243
Beleza e Bem-estar,457497.38,965
Calçados,360012.64,601
Moda Feminina,324794.63,286
Infantil,229776.2,566
Eletrônicos,228918.01,90
Gastronomia,215415.56,1161
Presentes e Acessórios,203827.18,474
Casa e Decoração,171073.7,250
Esportes,148422.16,349
Ótica,111494.26,111
Telefonia,94789.31,28
Livrarias,65317.87,388
Papelaria,62548.22,253
Eletrodomésticos,45855.69,21
Serviços,30055.62,317
Supermercado,28170.0,167
Calçados Femininos,27376.84,64
Farmácias,6946.110000000001,40
