segmento,valor,clientes
Moda,3223276.35,5804
Eletrodomésticos,2322174.01,2247
Casa e Decoração,2062130.96,3371
Eletrônicos,1457473.99,602
Beleza e Bem-estar,1098198.49,3529
Esportes,988347.2000000001,2161
Supermercado,983571.62,2076
Calçados,958446.37,2401
Telefonia,878299.24,387
Serviços,734991.73,1253
Gastronomia,530473.74,3140
Infantil,499062.52,1476
Joalheria,495333.86,527
Ótica,262888.6,369
Papelaria,248870.04,1068
Pets,215546.06,1154
Outros,185233.99,119
Presentes e Acessórios,164703.18,956
Livrarias,147029.43,861
Lazer,15574.22,79
