segmento,valor,clientes
Moda,2156233.44,2766
Beleza e Bem-estar,354505.28,916
Joalheria,315510.98,170
Gastronomia,271736.61,1526
Calçados,243297.42,578
Casa e Decoração,212042.91999999998,452
Eletrônicos,205110.5,44
Calçados Femininos,204441.8,207
Esportes,196350.51,386
Infantil,105657.99,365
Não informado,74219.56,454
Farmácias,67277.13,369
Pets,66952.94,335
Livrarias,45175.340000000004,324
Presentes e Acessórios,44448.63,102
Ótica,36385.63,33
Outros,22502.98,67
Hub da Saúde,21831.84,7
Eletrodomésticos,11507.64,132
Papelaria,11011.3,84
