segmento,valor,clientes
Moda,3184050.82,4055
Joalheria,939916.63,364
Calçados,714095.42,1299
Gastronomia,368595.99,2074
Telefonia,347427.16,111
Esportes,332247.2,732
Beleza e Bem-estar,307746.45,751
Casa e Decoração,297742.15,804
Eletrônicos,193612.17,130
Serviços,177732.06,384
Ótica,176042.76,117
Presentes e Acessórios,168180.36,655
Moda Feminina,161087.08,259
Infantil,141828.55,498
Eletrodomésticos,92134.38,38
Farmácias,60610.5,356
Livrarias,53416.75,421
Papelaria,47951.3,334
Pets,37241.64,249
Ótica e Joalheria,28745.64,15
