segmento,valor,clientes
Moda,279423.27,421
Joalheria,96597.41,40
Telefonia,86213.02,23
Gastronomia,71174.92,384
Calçados,65849.44,154
Esportes,52062.340000000004,134
Beleza e Bem-estar,36666.3,197
Casa e Decoração,29344.37,58
Eletrônicos,23999.7,13
Infantil,21750.5,74
Ótica,18639.66,18
Moda Feminina,17654.0,36
Eletrodomésticos,13836.89,92
Presentes e Acessórios,11416.35,45
Papelaria,8931.26,75
Farmácias,7212.93,72
Livrarias,5917.74,51
Pets,5397.5,54
Salão de Beleza | Barbearia,200.0,1
Serviços,169.9,1
