segmento,valor,clientes
Moda,17341496.29,15914
Joalheria,4985044.03,2051
Beleza e Bem-estar,3882194.86,7458
Calçados,3597670.7399999998,5715
Moda Feminina,2674878.54,2504
Infantil,2164449.22,4653
Gastronomia,1954545.35,7878
Casa e Decoração,1654357.68,1931
Eletrônicos,1640256.76,768
Esportes,1512733.51,2977
Presentes e Acessórios,1300789.45,3379
Telefonia,1138934.82,250
Ótica,1115599.75,935
Livrarias,426640.11,2288
Eletrodomésticos,404327.77,170
Serviços,380321.14,1562
Papelaria,195998.16,1126
Calçados Femininos,182828.35,467
Supermercado,162784.77,1272
Farmácias,17910.41,119
