loja,valor,clientes
Zara,1636739.43,2099
Vivara,785759.95,184
Renner,590822.92,1486
Sephora,507163.97,776
Kulkes,474228.0,8
iPlace Mobile,461259.64,109
.,429940.94,476
Centauro,381506.15,811
C&A,260960.95,748
Outback Steakhouse,226447.95,609
Paris Cosméticos,207980.46,466
Superlegal Brinquedos,203632.92,561
Riachuelo,198975.33000000002,613
Life Vivara,198504.66,239
Dolce & Gabbana Do Brasil,190352.0,30
Brooksfield,187518.37,116
Rayban,179898.75,109
Dvie Joalheria,166768.0,6
Vivo,160812.65,30
Coach,155509.6,39
