genero,qtd_clientes,valor_total,pct_clientes
Feminino,4200,3858896.74,65.08600650860065
Masculino,2244,2241628.12,34.77452347745235
Nao Informado,1,2199.0,0.01549666821633349
Outro,8,3461.5,0.12397334573066791
