segmento,valor,clientes
Moda,2232202.67,3440
Gastronomia,532832.4,2618
Joalheria,494572.02,251
Eletrodomésticos,483645.09,753
Calçados,435235.49,1092
Ótica,422576.72,272
Telefonia,397149.03,108
Beleza e Bem-estar,379005.06,1262
Esportes,362320.93,858
Eletrônicos,153302.69,89
Casa e Decoração,133164.19,67
Moda Feminina,115574.75,146
Não informado,93780.98,147
Presentes e Acessórios,88108.11,261
Livrarias,56730.49,464
Pets,55072.76,307
Farmácias,52232.79,440
Infantil,49490.43,189
Papelaria,44033.92,339
Serviços,14923.01,385
