segmento,valor,clientes
Eletrodomésticos,485253.44,442
Moda,335148.71,853
Casa e Decoração,267749.86,630
Calçados,228666.39,602
Beleza e Bem-estar,188923.77,701
Gastronomia,172527.62,1029
Eletrônicos,152125.0,82
Esportes,141213.06,350
Supermercado,129634.0,481
Telefonia,105831.95,87
Serviços,81012.0,232
Infantil,59850.090000000004,210
Joalheria,59686.34,58
Pets,42029.51,258
Livrarias,39429.69,240
Presentes e Acessórios,33620.03,239
Ótica,27769.09,42
Outros,20542.0,5
Fast Food,5653.5,77
Lazer,4254.3,47
