perfil_cliente,qtd_clientes,valor_total,frequencia_media,R_score_medio,F_score_medio,V_score_medio,score_total_medio,ticket_medio,pct_clientes,pct_valor
VIP,5039,12957447.7,7.6713633657471725,4.521333597936098,4.753125620162731,4.507838856916055,13.782298075014884,2571.4323675332407,14.26,30.33
Premium,10132,16470175.44,3.7335175681010657,3.423016186340308,3.7484208448480065,3.7196012633241216,10.891038294512436,1625.5601500197395,28.67,38.56
Potencial,12563,10750868.6,1.9980896282735015,2.821937435325957,2.553291411287113,2.646342434131975,8.021571280745045,855.7564753641645,35.55,25.17
Pontual,7604,2537053.09,1.2663072067332983,1.7223829563387691,1.5790373487638085,1.6262493424513413,4.927669647553919,333.64717122567066,21.52,5.94
