quantil,recencia_dias,frequencia,valor_periodo,escopo
20%,15.0,1.0,325.96,Garten Shopping
40%,17.0,2.0,519.96,Garten Shopping
60%,21.0,3.0,815.29,Garten Shopping
80%,24.0,4.0,1475.8799999999999,Garten Shopping
20%,15.0,1.0,310.96000000000004,Neumarkt Shopping
40%,17.0,2.0,505.59999999999997,Neumarkt Shopping
60%,20.0,3.0,839.3299999999999,Neumarkt Shopping
80%,24.0,5.0,1546.75,Neumarkt Shopping
20%,15.0,1.0,266.7,Nações Shopping
40%,17.0,2.0,439.95000000000005,Nações Shopping
60%,21.0,3.0,722.98,Nações Shopping
80%,24.0,4.0,1266.1399999999999,Nações Shopping
20%,15.0,1.0,310.79400000000004,Continente Shopping
40%,17.0,2.0,505.78600000000006,Continente Shopping
60%,21.0,3.0,810.038,Continente Shopping
80%,24.0,5.0,1437.7320000000002,Continente Shopping
20%,15.0,1.0,379.692,Balneário Shopping
40%,17.0,2.0,668.732,Balneário Shopping
60%,20.0,3.0,1099.148,Balneário Shopping
80%,24.0,4.0,2001.2800000000002,Balneário Shopping
20%,15.0,1.0,295.76599999999996,Norte Shopping
40%,17.0,1.0,469.844,Norte Shopping
60%,21.0,2.0,767.5439999999999,Norte Shopping
80%,24.0,4.0,1384.968,Norte Shopping
