segmento,valor,clientes
Moda,220477.71,410
Joalheria,92196.58,25
Gastronomia,84002.9,445
Calçados,49723.46,105
Casa e Decoração,43084.85,104
Beleza e Bem-estar,26030.23,106
Moda Feminina,21788.11,28
Esportes,18015.72,57
Infantil,16267.37,79
Presentes e Acessórios,14070.44,62
Eletrodomésticos,11122.91,6
Farmácias,10674.59,77
Papelaria,9175.65,101
Ótica e Joalheria,8077.0,3
Livrarias,6564.5199999999995,68
Ótica,6471.96,6
Pets,5024.22,52
Kids,3407.29,37
Telefonia,2830.03,7
Gastronomia - Sorvetes,2495.87,46
