segmento,valor,clientes
Moda,844755.68,1401
Gastronomia,178674.11,937
Beleza e Bem-estar,177931.98,528
Joalheria,173441.61,133
Casa e Decoração,170394.04,268
Esportes,119012.23,288
Calçados,113767.92,384
Calçados Femininos,77964.13,84
Infantil,76577.98,282
Ótica,33886.08,36
Eletrônicos,32986.81,8
Farmácias,31907.5,200
Não informado,31564.2,330
Moda Feminina,24893.100000000002,64
Livrarias,24028.45,170
Presentes e Acessórios,23318.51,45
Outros,23010.13,103
Pets,18770.46,138
Papelaria,14169.14,48
Eletrodomésticos,9173.0,109
