segmento,valor,clientes
Moda,9953839.15,13180
Telefonia,2421863.94,650
Calçados,1912071.25,5209
Joalheria,1782882.35,1072
Gastronomia,1414159.43,7515
Ótica,1359756.64,1033
Esportes,1344117.76,3560
Beleza e Bem-estar,1246783.7,4222
Eletrodomésticos,1199524.82,2045
Infantil,745668.97,2214
Moda Feminina,573983.9,838
Casa e Decoração,544152.71,1052
Não informado,530720.1,1024
Eletrônicos,440011.12,250
Presentes e Acessórios,325531.93,1175
Livrarias,305108.98,1857
Vestuário feminino,265262.79,393
Papelaria,213763.28,1376
Farmácias,176710.41,1387
Pets,134577.2,744
