segmento,valor,clientes
Moda,22379641.14,18717
Joalheria,6331977.97,2483
Beleza e Bem-estar,5041033.95,8992
Calçados,4468261.41,6775
Moda Feminina,3367353.88,2933
Infantil,2638876.11,5375
Gastronomia,2447454.48,9165
Casa e Decoração,1949011.64,2294
Eletrônicos,1945364.02,916
Esportes,1833028.1600000001,3546
Presentes e Acessórios,1578051.99,3948
Ótica,1378623.11,1136
Telefonia,1316902.98,287
Livrarias,534170.84,2816
Eletrodomésticos,514173.95,225
Serviços,399837.88,1811
Papelaria,330445.22,1561
Supermercado,201196.6,1605
Calçados Femininos,199949.2,474
Farmácias,39216.98,277
