loja,valor,clientes
Renner,658412.87,1475
Vivara,621004.47,204
Cvc Viagens,583049.05,35
Havan,390663.02,944
Le Lis ,312216.4,139
Shoulder,279833.58,245
Riachuelo,265848.83,727
Brooksfield,265663.82,158
Cia do Homem,247807.32,239
Centauro,241065.44,587
Idéli.Oui,229710.3,207
Life by Vivara,199266.71,236
Victor Hugo,167546.99,52
Luz da Lua,166420.21,153
Baier Joalheria,166334.0,60
Track & Field,165044.36,207
Óticas Carol,164903.6,86
Livrarias Catarinense,155113.59,1040
Claro,142863.35,38
Damyller,137556.81,150
