segmento,valor,clientes
Moda,3046248.99,3800
Joalheria,1135805.48,608
Calçados,874822.33,1542
Beleza e Bem-estar,790939.55,2031
Casa e Decoração,604562.57,1340
Serviços,602279.37,637
Gastronomia,460523.17,2398
Moda Feminina,438234.76,472
Ótica,396081.69,233
Telefonia,392214.54,139
Presentes e Acessórios,367861.54,563
Eletrônicos,331315.42,234
Esportes,299582.0,727
Livrarias,155113.59,1040
Infantil,79757.45,324
Papelaria,77344.06999999999,493
Farmácias,74746.66,441
Pets,49144.8,268
Eletrodomésticos,48459.85,485
Gastronomia - Restaurante,28339.13,96
