dia_semana,valor,transacoes
Domingo,9284917.23,31841
Quarta,4395768.27,15505
Quinta,4405156.54,15980
Sabado,8972672.4,30570
Segunda,5955494.62,20393
Sexta,5149049.4,18151
Terca,4842898.62,17894
