faixa_etaria,Feminino,Masculino,Nao Informado,Outro
Boomers (1946-1964),6484,3696,1,5
Gen X (1965-1980),23386,13470,4,24
Gen Z (1997-2012),11119,6239,6,37
Millennials (1981-1996),37918,21849,6,72
Nao Informado,13,9,4,0
Silent (antes 1946),190,122,0,0
