shopping,sigla,transacoes,clientes,valor_total,ticket_medio,idade_media,threshold_hs,qtd_high_spenders
Continente Shopping,CS,5135,1516,1532846.86,1011.1127044854882,40.366336633663366,2121.33,152
Balneário Shopping,BS,4049,1285,1752147.97,1363.5392762645913,42.355642023346306,3022.0820000000044,129
Neumarkt Shopping,NK,3603,1131,1095752.48,968.8350839964633,43.42882404951371,2138.3,114
Norte Shopping,NR,1807,652,451335.70999999996,692.2326840490797,39.5260736196319,1435.099999999999,66
Garten Shopping,GS,5372,1904,1778548.83,934.1117804621849,40.819327731092436,1968.2600000000002,191
Nações Shopping,NS,1680,597,477755.83,800.2610217755445,39.04522613065327,1660.6819999999996,60
