faixa_etaria,segmento,valor,clientes,ranking
40-54 (Gen X),Moda,1229890.96,1597,1
40-54 (Gen X),Joalheria,417645.22,207,2
40-54 (Gen X),Beleza e Bem-estar,214507.35,528,3
40-54 (Gen X),Calçados,186251.98,419,4
40-54 (Gen X),Esportes,164354.48,401,5
25-39 (Millennials),Moda,1044094.27,1545,1
25-39 (Millennials),Joalheria,276293.32,178,2
25-39 (Millennials),Calçados,199803.24,399,3
25-39 (Millennials),Beleza e Bem-estar,163360.39,453,4
25-39 (Millennials),Esportes,131425.72,336,5
55-69 (Boomers),Moda,350379.7,413,1
55-69 (Boomers),Joalheria,95821.47,44,2
55-69 (Boomers),Calçados,51627.84,96,3
55-69 (Boomers),Moda Feminina,49515.0,56,4
55-69 (Boomers),Beleza e Bem-estar,41855.89,122,5
16-24 (Gen Z),Moda,131901.14,178,1
16-24 (Gen Z),Calçados,22637.329999999998,50,2
16-24 (Gen Z),Joalheria,22333.1,21,3
16-24 (Gen Z),Gastronomia,17582.41,130,4
16-24 (Gen Z),Beleza e Bem-estar,17286.36,61,5
70+ (Silent),Joalheria,88858.1,6,1
70+ (Silent),Moda,59935.01,71,2
70+ (Silent),Calçados,13092.220000000001,20,3
70+ (Silent),Beleza e Bem-estar,8476.31,18,4
70+ (Silent),Moda Feminina,7793.92,8,5
Nao Informado,Telefonia,4199.0,1,1
Nao Informado,Papelaria,494.9,1,2
Nao Informado,Eletrodomésticos,54.44,1,3
Nao Informado,Gastronomia,18.85,1,4
