faixa_etaria,segmento,valor,clientes,ranking
Gen X (1965-1980),Moda,1869664.59,2436,1
Gen X (1965-1980),Joalheria,722908.58,381,2
Gen X (1965-1980),Calçados,393622.62,789,3
Gen X (1965-1980),Beleza e Bem-estar,304112.8,873,4
Gen X (1965-1980),Esportes,254835.36000000002,525,5
Gen Z (1997-2012),Moda,519245.7,786,1
Gen Z (1997-2012),Joalheria,127338.31,101,2
Gen Z (1997-2012),Beleza e Bem-estar,101534.19,347,3
Gen Z (1997-2012),Calçados,101097.35,243,4
Gen Z (1997-2012),Casa e Decoração,58760.62,180,5
Millennials (1981-1996),Moda,2452945.84,3677,1
Millennials (1981-1996),Joalheria,891500.67,518,2
Millennials (1981-1996),Calçados,516416.47,1149,3
Millennials (1981-1996),Beleza e Bem-estar,461810.05,1431,4
Millennials (1981-1996),Esportes,318521.98,738,5
Nao Informado,Esportes,404.98,1,1
Nao Informado,Farmácias,99.61,1,2
Nao Informado,Eletrodomésticos,85.73,1,3
Nao Informado,Gastronomia,41.8,1,4
Boomers (1946-1964),Moda,446825.0,577,1
Boomers (1946-1964),Joalheria,238051.54,62,2
Boomers (1946-1964),Calçados,93381.86,174,3
Boomers (1946-1964),Beleza e Bem-estar,79153.34,198,4
Boomers (1946-1964),Moda Feminina,76537.5,80,5
Silent (antes 1946),Joalheria,7640.0,2,1
Silent (antes 1946),Moda,6232.01,13,2
Silent (antes 1946),Ótica,5989.0,2,3
Silent (antes 1946),Casa e Decoração,4798.07,5,4
Silent (antes 1946),Calçados,4158.5199999999995,8,5
