faixa_etaria,periodo_dia,valor,transacoes
Boomers (1946-1964),Manha (6h-12h),172607.53,473
Boomers (1946-1964),Noite (18h-22h),519492.27,1027
Boomers (1946-1964),Tarde (12h-18h),621729.83,1274
Gen X (1965-1980),Manha (6h-12h),957425.65,2467
Gen X (1965-1980),Noite (18h-22h),2169124.81,5545
Gen X (1965-1980),Tarde (12h-18h),2056680.84,4962
Gen Z (1997-2012),Manha (6h-12h),253457.53,783
Gen Z (1997-2012),Noite (18h-22h),641074.68,1980
Gen Z (1997-2012),Tarde (12h-18h),385480.13,1470
Millennials (1981-1996),Manha (6h-12h),1361826.54,3792
Millennials (1981-1996),Noite (18h-22h),3016479.62,8553
Millennials (1981-1996),Tarde (12h-18h),2390212.13,7118
Nao Informado,Noite (18h-22h),147.53,4
Nao Informado,Tarde (12h-18h),484.59000000000003,4
Silent (antes 1946),Manha (6h-12h),3455.79,6
Silent (antes 1946),Noite (18h-22h),19990.15,28
Silent (antes 1946),Tarde (12h-18h),14128.93,26
