faixa_etaria,Feminino,Masculino,Nao Informado,Outro
Boomers (1946-1964),202,113,0,0
Gen X (1965-1980),1047,498,0,2
Gen Z (1997-2012),471,178,2,2
Millennials (1981-1996),1843,866,1,4
Nao Informado,0,2,0,0
Silent (antes 1946),3,4,0,0
