genero,segmento,valor,clientes,ranking
Feminino,Moda,1357782.09,1992,1
Feminino,Beleza e Bem-estar,224759.58,727,2
Feminino,Gastronomia,206999.38,1304,3
Feminino,Calçados,197370.59,451,4
Feminino,Joalheria,191960.46,138,5
Masculino,Moda,640939.92,800,1
Masculino,Joalheria,175379.29,64,2
Masculino,Eletrônicos,142377.62,45,3
Masculino,Calçados,105428.59,188,4
Masculino,Gastronomia,94329.31999999999,578,5
Outro,Eletrônicos,1850.0,1,1
Outro,Moda,1525.5700000000002,4,2
Outro,Infantil,557.57,1,3
Outro,Calçados,269.9,1,4
Outro,Farmácias,135.37,1,5
Nao Informado,Moda,1146.54,1,1
Nao Informado,Calçados,828.8,1,2
Nao Informado,Beleza e Bem-estar,129.4,1,3
