faixa_etaria,segmento,valor,clientes,ranking
Gen X (1965-1980),Moda,613693.84,875,1
Gen X (1965-1980),Joalheria,111813.79,72,2
Gen X (1965-1980),Esportes,101281.01000000001,201,3
Gen X (1965-1980),Calçados,97639.47,207,4
Gen X (1965-1980),Beleza e Bem-estar,90094.05,291,5
Millennials (1981-1996),Moda,1047943.62,1443,1
Millennials (1981-1996),Joalheria,197222.11,105,2
Millennials (1981-1996),Calçados,158665.14,322,3
Millennials (1981-1996),Gastronomia,158531.29,1007,4
Millennials (1981-1996),Beleza e Bem-estar,133721.68,438,5
Gen Z (1997-2012),Moda,196200.34,311,1
Gen Z (1997-2012),Gastronomia,40243.34,228,2
Gen Z (1997-2012),Beleza e Bem-estar,39411.86,109,3
Gen Z (1997-2012),Eletrônicos,35973.89,14,4
Gen Z (1997-2012),Calçados,23049.7,64,5
Boomers (1946-1964),Moda,142453.15,166,1
Boomers (1946-1964),Joalheria,36146.3,13,2
Boomers (1946-1964),Ótica,35800.9,11,3
Boomers (1946-1964),Moda Feminina,30937.0,26,4
Boomers (1946-1964),Calçados,24363.57,47,5
Nao Informado,Beleza e Bem-estar,210.6,1,1
Nao Informado,Gastronomia,46.0,1,2
Silent (antes 1946),Eletrodomésticos,3776.61,2,1
Silent (antes 1946),Moda,1103.17,2,2
Silent (antes 1946),Infantil,872.69,3,3
Silent (antes 1946),Casa e Decoração,481.33000000000004,3,4
Silent (antes 1946),Calçados,180.0,1,5
