loja,valor,clientes
Renner,70821.76,226
Magazine Luiza,60977.67,8
C&A,51443.25,169
Centauro,35877.69,87
Riachuelo,30641.74,129
Nike Unite,29770.72,54
Empório Du Homem,27345.7,17
Lojas Americanas,25686.54,248
Óticas Carol,25252.7,6
Vivo,22995.0,3
Panvel Farmácias,21474.29,171
Claro,20374.4,4
Outback Steakhouse,19485.73,59
Carioca Calçados,16051.130000000001,46
Companhia da Moda,15332.699999999999,17
Decathlon,14762.44,94
IDELI.OUI,14425.08,28
Kalunga,13631.06,141
Pernambucanas,12609.35,71
Studio Z,12571.4,65
