segmento,valor,clientes
Moda,229309.98,416
Gastronomia,80976.31,459
Joalheria,43994.43,29
Calçados,42343.72,95
Casa e Decoração,32487.84,127
Esportes,32191.350000000002,68
Beleza e Bem-estar,28021.21,124
Farmácias,15401.960000000001,112
Infantil,15195.19,78
Ótica,12443.5,17
Presentes e Acessórios,11467.72,70
Eletrônicos,11060.91,11
Moda Feminina,10974.41,30
Livrarias,8796.43,78
Pets,5898.1,56
Papelaria,5001.99,65
Telefonia,4356.610000000001,4
Eletrodomésticos,3698.0,2
Ótica e Joalheria,3280.0,2
Kids,2954.31,31
