loja,valor,clientes
Vivara,1488082.25,416
Renner,1210545.46,3140
Havan,924197.73,2330
Centauro,739978.6,1857
Riachuelo,641793.82,1982
Hering Store,465730.39,1260
Idéli.Oui,464900.5,464
Livrarias Catarinense,454921.96,2482
Shoulder,452569.26,419
Ri Happy,440224.17,1305
Track & Field,416012.81,533
Avatim,397592.77,1660
Vivo,397104.64,87
Life by Vivara,369284.06,474
Cia do Homem,359243.52,583
Brooksfield,357492.79,307
Adidas,342663.83,595
Le Lis ,341015.0,210
Baier Joalheria,326327.64,107
Luz da Lua,323993.51,365
