segmento,valor,clientes
Moda,5906483.39,8292
Joalheria,2596061.22,1194
Beleza e Bem-estar,1929478.78,5115
Calçados,1866897.5,3758
Gastronomia,1460479.17,5982
Moda Feminina,1209964.27,1481
Esportes,1201845.23,2593
Casa e Decoração,1196539.52,2912
Telefonia,872598.03,298
Presentes e Acessórios,658983.73,1442
Ótica,634319.35,458
Infantil,517026.26,1522
Livrarias,454921.96,2482
Eletrônicos,444343.76,443
Serviços,315535.13,1101
Papelaria,195969.69,1205
Eletrodomésticos,123222.06,1276
Pets,120365.69,560
Farmácias,98866.26,850
Gastronomia - Restaurante,51847.98,175
