periodo_dia,valor,transacoes,pct_valor,shopping
Manha (6h-12h),21548802.39,66294,22.09038529741339,Neumarkt Shopping
Noite (18h-22h),37687897.8,128882,38.63510223834478,Neumarkt Shopping
Tarde (12h-18h),38311631.81,131535,39.27451246424183,Neumarkt Shopping
