faixa_etaria,Feminino,Masculino,Nao Informado,Outro
16-24 (Gen Z),1708,928,1,6
25-39 (Millennials),9818,5822,3,24
40-54 (Gen X),10496,5906,0,12
55-69 (Boomers),4187,2332,0,3
70+ (Silent),933,507,1,0
Nao Informado,10,6,22,0
