loja,valor,clientes,ranking,shopping,sigla
Renner,6099284.97,10429,1,Neumarkt Shopping,NK
Vivara,5243625.31,1640,2,Neumarkt Shopping,NK
Havan,4126067.29,8251,3,Neumarkt Shopping,NK
Centauro,3034999.97,6125,4,Neumarkt Shopping,NK
Riachuelo,2763922.46,6864,5,Neumarkt Shopping,NK
Cvc Viagens,2457017.64,173,6,Neumarkt Shopping,NK
Shoulder,2333553.85,1594,7,Neumarkt Shopping,NK
Idéli.Oui,2119252.84,1930,8,Neumarkt Shopping,NK
Le Lis ,2012848.14,820,9,Neumarkt Shopping,NK
Cia do Homem,1924500.32,2209,10,Neumarkt Shopping,NK
