segmento,valor,clientes
Moda,401979.1,837
Casa e Decoração,211458.88,472
Eletrodomésticos,163819.2,229
Eletrônicos,149592.03,68
Esportes,135711.84,329
Beleza e Bem-estar,111381.87,387
Telefonia,98562.9,53
Calçados,93831.26,268
Supermercado,84234.2,294
Joalheria,54868.67,114
Gastronomia,52045.26,379
Pets,37266.17,250
Infantil,28088.81,128
Papelaria,23381.53,136
Serviços,14411.67,2
Livrarias,14153.31,98
Ótica,6324.4800000000005,13
Presentes e Acessórios,5192.32,59
Lazer,2860.52,11
Gastronomia - Sorvetes,2399.75,75
