perfil_cliente,qtd_clientes,valor_total,ticket_medio,frequencia_media,pct_clientes,pct_valor
VIP,232,1045214.27,4505.233922413793,9.336206896551724,8.92,46.05
Premium,391,548064.15,1401.6985933503836,7.59079283887468,15.03,24.15
Potencial,537,381256.03,709.9739851024209,5.1750465549348235,20.64,16.8
Pontual,1442,295307.88,204.79048543689322,2.7018030513176146,55.42,13.01
