quantil,recencia_dias,frequencia,valor_periodo,escopo
20%,2.0,1.0,79.998,Norte Shopping
40%,9.0,2.0,207.66400000000002,Norte Shopping
60%,16.0,3.3999999999999915,376.008,Norte Shopping
80%,24.200000000000017,6.0,752.1560000000001,Norte Shopping
20%,3.0,1.0,119.18599999999999,Garten Shopping
40%,9.0,2.0,272.594,Garten Shopping
60%,16.0,4.0,549.18,Garten Shopping
80%,24.0,6.0,1047.338,Garten Shopping
20%,2.0,1.0,113.9,Continente Shopping
40%,9.0,3.0,249.99,Continente Shopping
60%,16.0,4.0,479.78999999999996,Continente Shopping
80%,23.0,7.0,950.23,Continente Shopping
20%,3.0,1.0,196.168,Balneário Shopping
40%,9.0,2.0,442.78400000000045,Balneário Shopping
60%,15.0,3.0,857.9240000000001,Balneário Shopping
80%,22.400000000000034,6.0,1735.2920000000006,Balneário Shopping
20%,2.0,2.0,159.508,Neumarkt Shopping
40%,6.0,3.0,382.416,Neumarkt Shopping
60%,13.800000000000011,5.0,635.886,Neumarkt Shopping
80%,21.0,8.0,1316.946,Neumarkt Shopping
20%,2.0,1.0,91.68,Nações Shopping
40%,10.0,2.0,222.69,Nações Shopping
60%,16.0,3.0,433.24,Nações Shopping
80%,23.0,6.0,898.08,Nações Shopping
