quantil,recencia_dias,frequencia,valor_periodo,escopo
20%,2.0,2.0,201.99,Neumarkt Shopping
40%,8.0,3.0,427.0,Neumarkt Shopping
60%,15.0,4.0,729.33,Neumarkt Shopping
80%,22.0,8.0,1311.93,Neumarkt Shopping
20%,3.0,1.0,148.64,Norte Shopping
40%,9.0,2.0,312.99,Norte Shopping
60%,15.0,3.0,522.97,Norte Shopping
80%,22.0,6.0,980.86,Norte Shopping
20%,2.0,1.0,108.0,Nações Shopping
40%,8.0,2.0,291.13,Nações Shopping
60%,15.0,4.0,501.32,Nações Shopping
80%,22.0,6.0,986.0,Nações Shopping
20%,2.0,1.0,148.94,Garten Shopping
40%,8.0,3.0,329.88800000000003,Garten Shopping
60%,15.0,4.0,581.32,Garten Shopping
80%,22.0,7.0,1136.8280000000002,Garten Shopping
20%,2.0,1.0,136.788,Continente Shopping
40%,7.0,2.0,329.876,Continente Shopping
60%,14.0,4.0,588.564,Continente Shopping
80%,22.0,7.0,1139.1760000000004,Continente Shopping
20%,3.0,1.0,209.744,Balneário Shopping
40%,8.0,2.0,470.494,Balneário Shopping
60%,15.0,4.0,800.274,Balneário Shopping
80%,22.0,6.0,1535.7060000000006,Balneário Shopping
