shopping_principal,qtd_clientes,valor_total,ticket_medio,clientes_vip_historico,clientes_vip_periodo,high_spenders,pct_valor
Neumarkt Shopping,1476,1428824.14,233.26508424997306,755,168,178,22.78
Balneário Shopping,1170,1331445.94,346.26512007743685,617,164,182,21.23
Continente Shopping,1584,1305787.04,249.21212597152987,643,131,144,20.82
Norte Shopping,1491,1030931.46,266.53320403334993,311,97,104,16.44
Garten Shopping,799,589214.57,208.32197986087246,454,50,60,9.4
Nações Shopping,846,585229.55,202.53364443341735,272,62,69,9.33
