quantil,recencia_dias,frequencia,valor_periodo,escopo
20%,5.0,1.0,388.0,Neumarkt Shopping
40%,9.0,3.0,719.76,Neumarkt Shopping
60%,15.0,4.0,1253.34,Neumarkt Shopping
80%,27.0,8.0,2383.99,Neumarkt Shopping
20%,6.0,1.0,369.79,Garten Shopping
40%,10.0,2.0,649.83,Garten Shopping
60%,16.0,4.0,1069.87,Garten Shopping
80%,27.0,6.0,1931.78,Garten Shopping
20%,4.0,1.0,365.53000000000003,Continente Shopping
40%,9.0,2.0,643.9860000000002,Continente Shopping
60%,16.0,4.0,1047.8580000000002,Continente Shopping
80%,30.0,7.0,1896.394,Continente Shopping
20%,6.0,1.0,312.55400000000003,Norte Shopping
40%,10.0,2.0,508.16600000000005,Norte Shopping
60%,18.0,3.0,850.504,Norte Shopping
80%,34.0,6.0,1621.8480000000004,Norte Shopping
20%,24.0,1.0,235.8360000000001,Nações Shopping
40%,29.0,2.0,429.98,Nações Shopping
60%,35.0,3.0,733.4139999999999,Nações Shopping
80%,43.0,5.0,1343.8360000000002,Nações Shopping
20%,4.0,1.0,447.94,Balneário Shopping
40%,10.0,2.0,838.76,Balneário Shopping
60%,16.0,4.0,1462.0,Balneário Shopping
80%,31.0,6.0,2930.06,Balneário Shopping
