shopping_principal,qtd_clientes,valor_total,R_score_medio,F_score_medio,V_score_medio,score_total_medio,ticket_medio,vip_quintis,vip_valor_quintis,vip_ticket_quintis,premium_quintis,premium_valor_quintis,premium_ticket_quintis,potencial_quintis,potencial_valor_quintis,potencial_ticket_quintis,pontual_quintis,pontual_valor_quintis,pontual_ticket_quintis,pct_valor
Balneário Shopping,27241,59005266.4,3.0757681436070627,3.0140596894387137,3.300025696560332,9.389853529606109,2166.046268492346,5445,27261653.28,5006.731548209366,8136,19897552.05,2445.6184918879057,7815,9164500.46,1172.6808010236725,5845,2681560.61,458.7785474764756,36.03
Neumarkt Shopping,17626,31209981.69,3.1743447180301825,3.1620333598093726,3.099795756269148,9.436173834108702,1770.6786389424715,3858,15476525.64,4011.5411197511667,4971,9511929.23,1913.4840535103601,4973,4740112.42,953.1695998391313,3824,1481414.4,387.3991631799163,19.06
Garten Shopping,19741,29384318.04,3.0678283774884756,3.014082366648093,2.9293348867838507,9.011245630920419,1488.4918717390203,3108,11253564.16,3620.837889317889,5681,10488179.01,1846.185356451329,6246,5800102.4,928.6106948447007,4706,1842472.47,391.5156119847004,17.94
Continente Shopping,19322,26362972.55,3.118776524169341,3.066608011593003,2.9123796708415277,9.097764206603872,1364.4018502225442,3169,9767090.69,3082.0734269485642,5600,9230664.78,1648.3329964285713,6171,5578394.01,903.9692124453087,4382,1786823.07,407.76427886809677,16.1
Norte Shopping,9728,11385213.8,2.927323190789474,2.7854646381578947,2.6588199013157894,8.371607730263158,1170.355037006579,1209,3714786.23,3072.610612076096,2313,3636282.91,1572.106748811068,3212,2915005.62,907.53599626401,2994,1119139.04,373.7939345357382,6.95
Nações Shopping,6400,6429361.31,1.74,2.57546875,2.44921875,6.7646875,1004.5877046874999,168,584960.81,3481.9095833333336,995,2383904.09,2395.8835075376883,1929,2183412.89,1131.8884862623122,3308,1277083.52,386.05910519951635,3.93
