shopping,perfil_historico,ranking,segmento,valor,pct_valor,cupons,clientes
Garten Shopping,VIP,1,Moda,8823345.33,28.28,18001,2476
Garten Shopping,VIP,2,Joalheria,6396389.20,20.50,1562,985
Garten Shopping,VIP,3,Serviços,2246050.94,7.20,1845,651
Garten Shopping,VIP,4,Telefonia,1907993.04,6.12,555,395
Garten Shopping,VIP,5,Gastronomia,1593370.82,5.11,21750,1829
Garten Shopping,VIP,6,Calçados,1503670.48,4.82,3799,1565
Garten Shopping,VIP,7,Eletrônicos,1187593.64,3.81,530,392
Garten Shopping,VIP,8,Beleza e Bem-estar,1082128.67,3.47,3245,1313
Garten Shopping,VIP,9,Casa e Decoração,969120.34,3.11,3256,1117
Garten Shopping,VIP,10,Esportes,887091.52,2.84,2220,1099
Garten Shopping,Premium,1,Moda,5400601.84,38.20,12319,3448
Garten Shopping,Premium,2,Joalheria,1107726.91,7.84,820,680
Garten Shopping,Premium,3,Calçados,1074981.45,7.60,2785,1774
Garten Shopping,Premium,4,Esportes,710575.06,5.03,1723,1187
Garten Shopping,Premium,5,Gastronomia,687588.28,4.86,8437,2107
Garten Shopping,Premium,6,Beleza e Bem-estar,644122.84,4.56,1858,1197
Garten Shopping,Premium,7,Casa e Decoração,637939.07,4.51,1960,1161
Garten Shopping,Premium,9,Telefonia,487822.89,3.45,222,199
Garten Shopping,Premium,10,Presentes e Acessórios,426653.27,3.02,1876,1213
Continente Shopping,VIP,1,Moda,7361999.08,27.46,17244,2302
Continente Shopping,VIP,2,Telefonia,3809909.38,14.21,1000,584
Continente Shopping,VIP,3,Joalheria,3407850.12,12.71,1085,664
Continente Shopping,VIP,4,Gastronomia,1974335.15,7.36,32132,1876
Continente Shopping,VIP,5,Eletrodomésticos,1318763.92,4.92,3975,911
Continente Shopping,VIP,6,Calçados,1237851.36,4.62,3883,1398
Continente Shopping,VIP,7,Ótica,1084406.87,4.04,596,446
Continente Shopping,VIP,8,Beleza e Bem-estar,1021504.85,3.81,5315,1400
Continente Shopping,VIP,9,Eletrônicos,911272.10,3.40,444,216
Continente Shopping,VIP,10,Esportes,892215.68,3.33,3047,1204
Continente Shopping,Premium,1,Moda,5422166.14,36.65,12137,3357
Continente Shopping,Premium,2,Telefonia,1095962.87,7.41,443,375
Continente Shopping,Premium,3,Ótica,988624.61,6.68,609,537
Continente Shopping,Premium,4,Joalheria,966405.05,6.53,699,583
Continente Shopping,Premium,5,Calçados,959750.20,6.49,2888,1694
Continente Shopping,Premium,6,Eletrodomésticos,882229.96,5.96,1806,877
Continente Shopping,Premium,7,Gastronomia,878413.41,5.94,12524,2250
