perfil,qtd_clientes,valor_total,valor_medio_cliente,ticket_medio_transacao,frequencia_media,pct_clientes,pct_valor
VIP,26783,212160484.22,7921.460785572938,1049.2798522688834,20.132733450322966,10.55,38.54
PREMIUM,27069,69830108.23,2579.707718423289,464.95423061121585,9.853891905870183,10.66,12.68
POTENCIAL,28151,40408419.74,1435.4168498454762,356.1355697572132,6.211537778409292,11.09,7.34
PONTUAL,171943,228109453.07,1326.6573984983395,505.23097255617665,3.8555800468759998,67.71,41.44
