segmento,valor,clientes
Moda,105751.22,225
Gastronomia,49860.28,277
Esportes,25298.26,59
Calçados,21351.6,77
Eletrônicos,18693.8,7
Infantil,18362.46,62
Beleza e Bem-estar,18220.68,98
Moda Feminina,16456.65,20
Telefonia,12211.52,6
Eletrodomésticos,7090.2699999999995,91
Pets,7087.44,50
Papelaria,5904.89,60
Farmácias,5832.9,49
Livrarias,5351.76,45
Ótica,4665.98,4
Joalheria,4342.1900000000005,5
Casa e Decoração,3723.8,32
Presentes e Acessórios,3325.6,20
Vestuário feminino,2621.5,6
Gastronomia - Sorvetes,391.0,11
