genero,qtd_clientes,valor_total,ticket_medio,freq_media,idade_media,qtd_high_spenders,pct_clientes,pct_valor,shopping,sigla
Feminino,15588,23282594.82,1493.6229676674366,5.94983320502951,39.757336415591084,1672,62.32208539900847,64.74627880679837,Nações Shopping,NS
Masculino,9369,12631402.54,1348.212460241221,4.402390863485964,40.261668268717294,828,37.45802015032784,35.126510464083275,Nações Shopping,NS
Nao Informado,29,16994.78,586.0268965517241,3.0689655172413794,32.4,0,0.11594434671357748,0.047260572657261954,Nações Shopping,NS
Outro,26,28749.87,1105.7642307692308,7.615384615384615,33.34615384615385,2,0.10395010395010396,0.07995015646109192,Nações Shopping,NS
