cliente_id,valor_total,qtd_compras,genero,faixa_etaria,segmento_preferido,loja_preferida,ranking
129899,26789.9,67,Feminino,40-54 (Gen X),Gastronomia,Farm,29
73460,25358.05,19,Feminino,40-54 (Gen X),Calçados Femininos,Luz da Lua,30
368551,25195.16,13,Masculino,25-39 (Millennials),Beleza e Bem-estar,Cobasi,31
232555,24985.88,58,Feminino,40-54 (Gen X),Gastronomia,Las Leñas Parrilla Uruguaya,32
14376,24497.62,204,Masculino,25-39 (Millennials),Gastronomia,Mini Kalzone,33
152977,24395.79,80,Masculino,25-39 (Millennials),Gastronomia,Livraria Catarinense ,34
120429,24133.59,96,Feminino,40-54 (Gen X),Moda,Cobasi,35
284476,24000.0,1,Masculino,25-39 (Millennials),Joalheria,Vivara,36
273118,23696.58,311,Feminino,25-39 (Millennials),Gastronomia,Lug's,37
90885,23453.17,64,Feminino,40-54 (Gen X),Moda,Livraria Catarinense ,38
121003,23215.55,92,Feminino,25-39 (Millennials),Pets,Cobasi,39
196327,22979.65,97,Feminino,40-54 (Gen X),Moda,Renner,40
249598,22778.05,32,Feminino,25-39 (Millennials),Gastronomia,JAH Açaí,41
366184,22297.32,4,Feminino,40-54 (Gen X),Joalheria,Vivara,42
202984,22055.24,56,Masculino,25-39 (Millennials),Moda,Békko,43
229343,21766.96,13,Feminino,25-39 (Millennials),Gastronomia,Vivara,44
219802,21623.9,88,Masculino,25-39 (Millennials),Moda,Fátima Papelaria,45
140588,21597.1,110,Feminino,40-54 (Gen X),Moda,Panda Sushi,46
184642,21526.25,226,Masculino,25-39 (Millennials),Gastronomia,Café Cultura,47
224384,21207.65,13,Feminino,40-54 (Gen X),Moda,Luz da Lua,48
129224,20983.86,123,Feminino,25-39 (Millennials),Gastronomia,Camarão Express,49
62532,20891.72,53,Masculino,25-39 (Millennials),Gastronomia,Calvin Klein e Tommy Hilfiger,50
260832,20856.56,9,Masculino,25-39 (Millennials),Beleza e Bem-estar,Avatim,51
157089,20574.49,7,Masculino,40-54 (Gen X),Presentes e Acessórios,Cases e Capas,52
9686,20437.6,16,Masculino,25-39 (Millennials),Moda,Empório Du Homem,53
83284,20373.24,66,Feminino,40-54 (Gen X),Moda,Cobasi,54
271689,20345.42,1,Masculino,40-54 (Gen X),Casa e Decoração,Cassol Centerlar,55
225572,20187.9,13,Feminino,25-39 (Millennials),Eletrônicos,Samsung,56
231783,20111.23,123,Feminino,25-39 (Millennials),Gastronomia,Mini Kalzone,57
196148,19937.07,13,Masculino,25-39 (Millennials),Gastronomia,JAH Açaí,58
311858,19867.91,4,Masculino,40-54 (Gen X),Joalheria,Vivara,59
144336,19340.06,23,Feminino,40-54 (Gen X),Moda,Cobasi,60
140433,18946.72,62,Feminino,40-54 (Gen X),Moda,JAH Açaí,61
100928,18851.16,20,Masculino,25-39 (Millennials),Infantil,Fátima Bebê,62
8920,18845.85,152,Feminino,25-39 (Millennials),Gastronomia,BelShop,63
257869,18644.15,20,Masculino,25-39 (Millennials),Moda,Empório Du Homem,64
59741,18573.350000000002,107,Masculino,25-39 (Millennials),Gastronomia,Livraria Catarinense ,65
130159,18504.03,41,Feminino,40-54 (Gen X),Moda,C&A,66
168127,18497.74,110,Feminino,25-39 (Millennials),Gastronomia,Cobasi,67
276125,18424.28,13,Masculino,25-39 (Millennials),Gastronomia,Burger King,68
233598,18411.21,24,Feminino,40-54 (Gen X),Moda,Békko,69
186420,18383.69,40,Feminino,55-69 (Boomers),Gastronomia,JAH Açaí,70
221263,18271.44,32,Feminino,40-54 (Gen X),Moda,GrandVision by Fototica,71
4094,18263.24,56,Feminino,40-54 (Gen X),Gastronomia,Arezzo,72
7640,18256.44,119,Feminino,40-54 (Gen X),Gastronomia,Renner,73
254813,18177.739999999998,15,Masculino,55-69 (Boomers),Moda,Luz da Lua,74
219251,18167.65,45,Feminino,40-54 (Gen X),Moda,Arezzo,75
130618,18116.6,73,Masculino,25-39 (Millennials),Gastronomia,Mini Kalzone,76
89789,18114.23,125,Feminino,40-54 (Gen X),Gastronomia,Cobasi,77
36483,18061.31,22,Feminino,25-39 (Millennials),Moda,Renner,78
119743,18034.3,57,Feminino,40-54 (Gen X),Moda,Renner,79
130196,17933.83,87,Masculino,25-39 (Millennials),Gastronomia,Renner,80
156164,17850.18,56,Masculino,40-54 (Gen X),Gastronomia,Café Cultura,81
201361,17627.86,92,Feminino,40-54 (Gen X),Moda,Renner,82
221341,17574.86,191,Masculino,25-39 (Millennials),Gastronomia,Café Cultura,83
232344,17557.1,185,Masculino,16-24 (Gen Z),Gastronomia,Americanas,84
170852,17325.32,27,Feminino,25-39 (Millennials),Gastronomia,Cobasi,85
228095,17257.38,40,Feminino,25-39 (Millennials),Moda,Me Linda,86
115325,17228.55,15,Masculino,40-54 (Gen X),Moda,Fátima Bebê,87
441842,17203.29,8,Masculino,40-54 (Gen X),Casa e Decoração,Cassol Centerlar,88
396581,17197.0,3,Masculino,40-54 (Gen X),Eletrônicos,Samsung,89
138582,17094.35,56,Feminino,25-39 (Millennials),Moda,Renner,90
120147,17074.73,61,Feminino,25-39 (Millennials),Moda,Renner,91
30720,16986.97,46,Masculino,25-39 (Millennials),Moda,Estacionamento - Nações Shopping,92
233953,16855.46,43,Feminino,25-39 (Millennials),Moda,Centauro,93
105416,16850.59,74,Feminino,25-39 (Millennials),Infantil,Ri Happy,94
160565,16798.55,29,Feminino,55-69 (Boomers),Moda,Renner,95
245195,16797.96,34,Feminino,16-24 (Gen Z),Moda,Dudalina,96
180647,16725.93,184,Feminino,25-39 (Millennials),Gastronomia,Café Cultura,97
221717,16707.75,12,Feminino,40-54 (Gen X),Moda,Colcci,98
91728,16583.01,137,Feminino,40-54 (Gen X),Moda,Renner,99
353696,16538.24,15,Feminino,25-39 (Millennials),Moda,Tokaia,100
425726,16500.0,1,Feminino,25-39 (Millennials),Joalheria,Vivara,101
367066,16440.0,1,Masculino,25-39 (Millennials),Joalheria,Vivara,102
153948,16373.11,27,Feminino,40-54 (Gen X),Moda,Colcci,103
274966,16298.470000000001,4,Masculino,55-69 (Boomers),Casa e Decoração,Cassol Centerlar,104
122411,16255.89,90,Feminino,40-54 (Gen X),Gastronomia,Cobasi,105
134639,16255.34,246,Feminino,25-39 (Millennials),Gastronomia,Café Cultura,106
121060,16242.72,49,Feminino,16-24 (Gen Z),Moda,Renner,107
20324,16211.03,118,Feminino,25-39 (Millennials),Moda,Renner,108
4624,16208.03,90,Feminino,40-54 (Gen X),Gastronomia,Lug's,109
117524,16190.56,337,Masculino,25-39 (Millennials),Gastronomia,Café Cultura,110
213448,16152.43,13,Masculino,25-39 (Millennials),Casa e Decoração,Cassol Centerlar,111
203450,16144.19,131,Feminino,40-54 (Gen X),Moda,Renner,112
186301,16121.06,69,Masculino,25-39 (Millennials),Gastronomia,Santo Boteco,113
146788,16045.37,93,Feminino,40-54 (Gen X),Moda,Renner,114
366069,16020.43,14,Masculino,40-54 (Gen X),Gastronomia,JAH Açaí,115
8849,16005.81,67,Feminino,40-54 (Gen X),Moda,Livraria Catarinense ,116
45794,15960.17,14,Feminino,25-39 (Millennials),Joalheria,Pandora,117
229594,15910.42,40,Feminino,25-39 (Millennials),Moda,Colcci,118
242796,15907.789999999999,74,Feminino,40-54 (Gen X),Gastronomia,Pandora,119
267464,15900.84,16,Feminino,25-39 (Millennials),Moda,Hope Nacoes Shopping,120
31476,15858.87,113,Feminino,25-39 (Millennials),Gastronomia,Camarão Express,121
