faixa_etaria,Feminino,Masculino,Nao Informado,Outro
16-24 (Gen Z),1295,655,0,6
25-39 (Millennials),6931,4116,5,12
40-54 (Gen X),5502,3498,0,7
55-69 (Boomers),1630,956,0,1
70+ (Silent),215,138,0,0
Nao Informado,15,6,24,0
