metrica,valor,shopping
Qtd High Spenders,2502.0,Nações Shopping
Valor Total HS,16699895.01,Nações Shopping
Ticket Medio HS,6674.618309352518,Nações Shopping
Freq Media HS,21.46123101518785,Nações Shopping
Idade Media HS,41.5004,Nações Shopping
% Feminino HS,66.82653876898482,Nações Shopping
% Masculino HS,33.093525179856115,Nações Shopping
