quantil,recencia_dias,frequencia,valor_periodo,escopo
20%,12.0,1.0,244.728,Nações Shopping
40%,19.0,1.0,433.76800000000003,Nações Shopping
60%,20.0,2.0,666.28,Nações Shopping
80%,25.0,4.0,1120.8260000000002,Nações Shopping
20%,11.0,1.0,318.88,Continente Shopping
40%,19.0,2.0,499.8,Continente Shopping
60%,21.0,3.0,809.98,Continente Shopping
80%,25.0,4.0,1389.8799999999999,Continente Shopping
20%,8.0,1.0,289.698,Garten Shopping
40%,19.0,2.0,454.744,Garten Shopping
60%,20.0,2.0,726.3039999999999,Garten Shopping
80%,24.0,4.0,1274.6960000000001,Garten Shopping
20%,11.0,1.0,349.9,Balneário Shopping
40%,19.0,2.0,622.71,Balneário Shopping
60%,21.0,3.0,1032.55,Balneário Shopping
80%,25.0,4.0,1829.8,Balneário Shopping
20%,13.0,1.0,308.29999999999995,Neumarkt Shopping
40%,20.0,2.0,496.36,Neumarkt Shopping
60%,21.0,2.0,805.4300000000001,Neumarkt Shopping
80%,26.0,4.0,1445.15,Neumarkt Shopping
20%,17.0,1.0,259.98,Norte Shopping
40%,20.0,1.0,399.99,Norte Shopping
60%,21.0,2.0,652.95,Norte Shopping
80%,26.0,4.0,1124.87,Norte Shopping
