segmento,valor,clientes
Eletrodomésticos,1269062.68,960
Moda,1198409.19,2189
Serviços,768797.51,593
Casa e Decoração,579457.58,1197
Calçados,552515.42,1278
Eletrônicos,477719.8,240
Beleza e Bem-estar,463543.71,1604
Telefonia,404177.76,165
Supermercado,390997.05,871
Esportes,354259.65,762
Joalheria,239340.01,177
Gastronomia,167565.77,1301
Presentes e Acessórios,101919.13,461
Papelaria,82720.74,349
Pets,78360.32,408
Infantil,74770.07,303
Ótica,66333.77,79
Outros,59598.9,43
Livrarias,44252.12,337
Lazer,17078.24,72
