segmento,valor,clientes
Moda,16114257.93,14189
Joalheria,5533100.1,1784
Beleza e Bem-estar,4566158.72,7399
Calçados,3030024.77,5443
Gastronomia,2206194.78,7819
Moda Feminina,2201787.42,1696
Infantil,1683792.31,3656
Eletrônicos,1643221.41,628
Esportes,1542434.8900000001,2817
Ótica,1444808.42,985
Casa e Decoração,1425404.37,1412
Presentes e Acessórios,1011226.41,2646
Calçados Femininos,797146.41,1403
Telefonia,602085.91,151
Livrarias,343182.88,1956
Eletrodomésticos,307796.03,139
Não informado,72219.65,103
Serviços,34288.5,474
Lazer,19200.65,197
Farmácias,12287.0,50
