periodo_dia,valor,transacoes,pct_valor,shopping
Manha (6h-12h),37574918.71,79583,20.74107180459707,Balneário Shopping
Noite (18h-22h),77942581.78,171862,43.02371743799468,Balneário Shopping
Tarde (12h-18h),65644394.44,137624,36.235210757408254,Balneário Shopping
